service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
G2601L_A96_065-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_065-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_065-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_065-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_070-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_070-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_070-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_071-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_071-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_071-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_071-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_071-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_072-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_072-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_072-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_072-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_072-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_073-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_073-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_075-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_075-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_075-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_075-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_075-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_076-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_078-01,0,0,0,0,0,0,0,20260504,20260508
G2601S_B5_001-01,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-02,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-03,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-04,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-05,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-06,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-07,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-08,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-09,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-10,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-11,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-12,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_001-13,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_002-01,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_002-02,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_002-03,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_002-04,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_003-01,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_003-02,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_003-03,0,0,0,0,0,0,0,20260516,20260516
G2601S_B5_003-04,0,0,0,0,0,0,0,20260516,20260516
